Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
87,5129924027,lethuima (27/100),0,152,1B Matt Olson 2B Jake Cronenworth 3B Austin Riley C Drake Baldwin OF Ramon Laureano OF Mike Yastrzemski OF Sam Antonacci P Chris Sale P Reid Detmers SS Jorge Mateo,,Jorge Soler,OF,3.99%,9
87,5130021081,Jthayesjr (32/75),0,152,1B Matt Olson 2B Josh Smith 3B Austin Riley C Drake Baldwin OF Ronald Acuna Jr. OF Ezequiel Duran OF Alejandro Osuna P Chris Sale P Reid Detmers SS Jorge Mateo,,Mike Trout,OF,3.95%,8
91,5129599372,zroth2 (76/150),0,151.65,1B Matt Olson 2B Marcus Semien 3B Austin Riley C Drake Baldwin OF Mike Yastrzemski OF Tyrone Taylor OF Austin Slater P Chris Sale P Michael King SS Jorge Mateo,,Jake Cronenworth,2B,3.95%,3
91,5129646961,catsogod,0,151.65,1B Matt Olson 2B Ozzie Albies 3B Ronny Mauricio C Drake Baldwin OF Jordan Walker OF Nathan Church OF Wenceel Perez P Chris Sale P Michael King SS Masyn Winn,,Willi Castro,2B,3.72%,3
91,5130043072,nkarpovich5 (1/3),0,151.65,1B Josh Naylor 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Ezequiel Duran P Chris Sale P Sean Burke SS Hyeseong Kim,,Isaac Collins,OF,3.66%,3
94,5129996798,cardinals19191 (32/150),0,151.3,1B Mark Vientos 2B Ozzie Albies 3B Austin Riley C Francisco Alvarez OF Ronald Acuna Jr. OF Michael Harris II OF Wenceel Perez P Chris Sale P Emerson Hancock SS Mauricio Dubon,,Luke Raley,OF,3.65%,3
95,5129673623,ShaidyAdvice (142/150),0,151,1B Nolan Schanuel 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Jorge Soler OF Mike Yastrzemski OF Andrew Benintendi P Chris Sale P Reid Detmers SS Jorge Mateo,,Dillon Dingler,C,3.52%,21
95,5129842035,dfs_ads (30/150),0,151,1B Jake Burger 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Ronald Acuna Jr. OF Joc Pederson OF Alejandro Osuna P Chris Sale P Reid Detmers SS Jorge Mateo,,Sam Antonacci,OF,3.40%,10
95,5129924016,lethuima (16/100),0,151,1B Jake Burger 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Ronald Acuna Jr. OF Joc Pederson OF Alejandro Osuna P Chris Sale P Reid Detmers SS Jorge Mateo,,Josh Lowe,OF,3.19%,0
98,5129532026,sickums (1/10),0,150.85,1B Matt Olson 2B Gleyber Torres 3B Colt Keith C Drake Baldwin OF Riley Greene OF Josh Lowe OF Wenceel Perez P Chris Sale P Roki Sasaki SS Kevin McGonigle,,Miguel Vargas,3B,3.08%,7
98,5130127746,kregs525 (2/3),0,150.85,1B Mark Vientos 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Mike Trout OF Michael Harris II OF Tyrone Taylor P Emerson Hancock P Roki Sasaki SS Jorge Mateo,,Leo Rivas,3B,2.96%,7
