Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
81,5130235173,Skipper55 (44/47),0,107,1B Nolan Schanuel 2B Marcus Semien 3B Oswald Peraza C Travis d'Arnaud OF Juan Soto OF Josh Lowe OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Zach Neto,,,,,
81,5130263101,FantasyGainz (12/47),0,107,1B Josh Naylor 2B Oswald Peraza 3B Leo Rivas C Mitch Garver OF Mike Trout OF Randy Arozarena OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Zach Neto,,,,,
87,5129711660,jb101086 (1/15),0,106.950005,1B Mark Vientos 2B Marcus Semien 3B Andy Ibanez C Francisco Alvarez OF Juan Soto OF Jo Adell OF Julio Rodriguez P Emerson Hancock P Nolan McLean SS J.P. Crawford,,,,,
87,5130161419,Wacker25,0,106.950005,1B Nolan Schanuel 2B Marcus Semien 3B Leo Rivas C Carter Jensen OF Juan Soto OF Jo Adell OF Julio Rodriguez P Emerson Hancock P Nolan McLean SS J.P. Crawford,,,,,
87,5130280560,UniversalFriend (16/23),0,106.950005,1B Mark Vientos 2B Marcus Semien 3B Andy Ibanez C Francisco Alvarez OF Juan Soto OF Jo Adell OF Julio Rodriguez P Emerson Hancock P Nolan McLean SS J.P. Crawford,,,,,
90,5129685965,ivymoose (2/4),0,106.25,1B Mark Vientos 2B Vaughn Grissom 3B Bo Bichette C Francisco Alvarez OF Tyrone Taylor OF Juan Soto OF Jo Adell P Seth Lugo P Emerson Hancock SS Zach Neto,,,,,
90,5130290797,vinny1081 (6/7),0,106.25,1B Nolan Schanuel 2B Marcus Semien 3B Bo Bichette C Francisco Alvarez OF Mike Trout OF Juan Soto OF Jac Caglianone P Seth Lugo P Emerson Hancock SS Ronny Mauricio,,,,,
90,5130307898,frankdrebin (2/2),0,106.25,1B Mark Vientos 2B Vaughn Grissom 3B Bo Bichette C Francisco Alvarez OF Mike Trout OF Jorge Soler OF Juan Soto P Seth Lugo P Emerson Hancock SS Ronny Mauricio,,,,,
93,5129679982,JohnnyBalls123 (2/6),0,106,1B Josh Naylor 2B Cole Young 3B Maikel Garcia C Mitch Garver OF Mike Trout OF Jorge Soler OF Jo Adell P Reid Detmers P Emerson Hancock SS Zach Neto,,,,,
93,5129697476,craftylefty (43/47),0,106,1B Nolan Schanuel 2B Vaughn Grissom 3B Bo Bichette C Mitch Garver OF Mike Trout OF Jorge Soler OF Juan Soto P Reid Detmers P Emerson Hancock SS Zach Neto,,,,,
